tm,warning_type,주의보_개수
2021-03-15,"태풍주의보, 한파주의보",2
2021-03-16,"태풍주의보, 한파주의보",2
2021-03-17,"태풍주의보, 한파주의보",2
2021-03-18,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-19,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-20,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-21,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-22,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-23,"태풍주의보, 한파주의보",2
2021-03-24,"건조주의보, 태풍주의보, 한파주의보",3
2021-03-25,"건조주의보, 태풍주의보, 한파주의보",3
2021-03-26,"건조주의보, 태풍주의보, 한파주의보",3
2021-03-27,"강풍주의보, 건조주의보, 태풍주의보, 한파주의보, 호우주의보",5
2021-03-28,"강풍주의보, 건조주의보, 태풍주의보, 한파주의보",4
2021-03-29,"건조주의보, 태풍주의보, 한파주의보",3
2021-03-30,"건조주의보, 태풍주의보, 한파주의보",3
2021-03-31,"건조주의보, 태풍주의보, 한파주의보",3
2021-04-01,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-02,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-04-03,"태풍주의보, 한파주의보",2
2021-04-04,"강풍주의보, 태풍주의보, 한파주의보",3
2021-04-05,"태풍주의보, 한파주의보",2
2021-04-06,"태풍주의보, 한파주의보",2
2021-04-07,"건조주의보, 태풍주의보, 한파주의보",3
2021-04-08,"건조주의보, 태풍주의보, 한파주의보",3
2021-04-09,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-10,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-04-11,"태풍주의보, 한파주의보",2
2021-04-12,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-13,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-04-14,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-04-15,"태풍주의보, 한파주의보",2
2021-04-16,"태풍주의보, 한파주의보",2
