시군구,사고월,사고일,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
해운대구,06월,(중상자[명]),1,0,1,1,-,0,0,1,2,0,1,2,1,0,2,1,1,1,2,3,-,1,0,1,1,-,1,2,0,0,-
해운대구,07월,사고[건],4,3,5,2,1,4,4,4,3,2,9,3,3,3,3,1,4,4,3,5,8,6,2,1,3,3,3,1,1,5,3
해운대구,07월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
해운대구,07월,부상[명],4,3,8,4,2,7,6,6,3,2,13,6,4,5,3,1,5,7,4,7,10,7,2,2,3,5,3,1,1,5,4
해운대구,07월,(중상자[명]),1,1,0,0,0,2,0,1,1,1,2,0,1,1,2,0,1,3,1,1,2,1,0,0,0,0,1,0,0,2,1
해운대구,08월,사고[건],-,4,3,2,3,6,2,2,6,5,6,4,4,5,-,1,5,5,1,4,3,4,1,3,5,-,2,-,5,1,3
해운대구,08월,사망[명],-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0
해운대구,08월,부상[명],-,12,3,2,5,8,2,2,11,6,6,6,4,8,-,1,8,7,1,5,3,4,2,5,5,-,2,-,7,1,3
해운대구,08월,(중상자[명]),-,1,1,1,3,0,0,0,1,1,3,0,0,1,-,0,0,1,0,0,0,1,0,2,0,-,0,-,0,0,1
해운대구,09월,사고[건],1,2,2,1,4,-,3,4,2,-,2,2,1,3,1,4,1,1,1,-,2,-,5,2,2,1,2,1,3,-,-
해운대구,09월,사망[명],0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,-,1,0,0,0,1,0,0,-,-
해운대구,09월,부상[명],1,2,3,1,4,-,7,4,2,-,2,2,2,10,1,4,1,1,1,-,2,-,6,2,2,2,1,1,3,-,-
해운대구,09월,(중상자[명]),0,0,0,0,3,-,1,2,0,-,0,1,1,4,0,0,1,1,0,-,1,-,0,1,1,0,0,1,0,-,-
해운대구,10월,사고[건],1,1,2,1,2,2,2,3,4,2,1,2,1,2,1,4,5,2,4,2,3,1,4,5,3,1,3,1,3,2,3
